ranking	mean_star	username
1	28	fabpot
2	3	andrew
3	4	taylorotwell
4	35	egoist
5	119	HugoGiraudel
6	22	ornicar
7	34	bebraw
8	1	nelsonic
9	15	alexcrichton
10	10	jonathanong
11	2	mikermcneil
12	17	benbalter
13	94	jxnblk
14	34	yegor256
15	15	orta
16	94	rstacruz
17	110	GrahamCampbell
18	5	afc163
19	3315	kamranahmedse
20	68	joshaber
21	69	bkeepers
22	645	kennethreitz
23	7	kytrinyx
24	35	STRML
25	24	atmos
26	3	weierophinney
27	29	agentzh
28	544	steipete
29	196	ai
30	339	mikepenz
31	156	nvie
32	56	hadley
33	14	appleboy
34	44	Rich-Harris
35	8	drnic
36	5	rafaelfranca
37	20	Ocramius
38	165	mitchellh
39	3	stof
40	8	IgorMinar
41	134	phodal
42	28	jwiegley
43	87	geerlingguy
44	42	dcramer
45	1627	sebastianbergmann
46	10	brunocvcunha
47	18	ljharb
48	18	jdalton
49	0	sevilayha
50	343	paulmillr
51	38	tmm1
52	14	c9s
53	74	zcbenz
54	295	holman
55	19	kevinsawicki
56	53	yihui
57	192	buckyroberts
58	36	kbrsh
59	0	dmalan
60	62	mhevery
61	142	mgechev
62	223	kylef
63	242	chjj
64	21	ayende
65	25	mcollina
66	486	mdo
67	9	yoshuawuyts
68	89	muan
69	56	kentcdodds
70	22	jskeet
71	62	mitsuhiko
72	6	steveklabnik
73	9	hzoo
74	27	Caged
75	69	dlew
76	51	technoweenie
77	127	gaearon
78	103	soumith
79	136	feross
80	5	michalbe
81	15	brianleroux
82	83	willdurand
83	137	alexjlockwood
84	17	matsko
85	16	stefanpenner
86	29	adamwathan
87	20	Haacked
88	18	curran
89	37	rauchg
90	80	ianstormtaylor
91	41	KrauseFx
92	388	tj
93	207	jgm
94	320	jverkoey
95	136	chenglou
96	87	DataTables
97	248	SamyPesse
98	7	mjhea0
99	0	0x00A
100	77	tmcw
101	12	brentvatne
102	131	carpedm20
103	24	benjamn
104	76	notwaldorf
105	12	miyagawa
106	83	rnystrom
107	899	photonstorm
108	20	mattn
109	9	dougwilson
110	1090	JakeWharton
111	34	yyx990803
112	590	krzysztofzablocki
113	24	eduardolundgren
114	6	vjeux
115	369	mxcl
116	45	domenic
117	65	alex
118	1860	mrdoob
119	6	josegonzalez
120	629	fzaninotto
121	71	pissang
122	29	jamesmontemagno
123	9	paulcbetts
124	63	paulirish
125	26	samdark
126	30	madskristensen
127	4	sokra
128	109	marijnh
129	6	alanhamlett
130	90	wesm
131	98	josevalim
132	11	jennybc
133	132	BurntSushi
134	614	zenorocha
135	18	contra
136	73	jaredhanson
137	41	radar
138	147	bevacqua
139	21	xudafeng
140	5	j2kun
141	18	dominictarr
142	498	avelino
143	1953	vinta
144	192	developit
145	4	ashleygwilliams
146	31	ashfurrow
147	26	f
148	197	onevcat
149	809	toddmotto
150	25	gdi2290
151	6	EisenbergEffect
152	194	ankane
153	54	keijiro
154	1339	nolimits4web
155	14	davidfowl
156	81	biezhi
157	439	LeaVerou
158	5	davidtmiller
159	16	odersky
160	2	vhf
161	124	soffes
162	22	mxstbr
163	22	Jinjiang
164	9	happypeter
165	237	yeasy
166	54	mafintosh
167	347	vczh
168	427	Draveness
169	437	ded
170	19	vladikoff
171	23	bnoordhuis
172	196	jendewalt
173	107	jessfraz
174	28	indutny
175	18	olivergierke
176	11	i5ting
177	7	laanwj
178	258	drakeet
179	0	thejameskyle
180	48	ahmetb
181	30	sdiehl
182	697	jaywcjlove
183	65	gitster
184	22	djspiewak
185	142	evilsocket
186	13	mariotaku
187	15	shama
188	587	CamDavidsonPilon
189	5	dsyer
190	370	winterbe
191	384	dennybritz
192	14	arun-gupta
193	24	maryrosecook
194	28	killme2008
195	1402	IanLunn
196	1377	ruanyf
197	856	binux
198	2	nfultz
199	128	leah
200	3	suissa
201	166	anishathalye
202	28	pkrumins
203	53	isaacs
204	56	staltz
205	111	KittenYang
206	29	leebyron
207	2	fengmk2
208	17	passy
209	851	gorhill
210	6	phuslu
211	94	mrmrs
212	75	siddontang
213	398	daylerees
214	95	weavejester
215	22	zce
216	72	philsturgeon
217	26	oldratlee
218	348	josephmisiti
219	40	atian25
220	113	ebidel
221	224	overtrue
222	644	connors
223	140	eliben
224	71	Seldaek
225	4	joyeecheung
226	3507	bailicangdu
227	159	nikic
228	54	codahale
229	458	amitshekhariitbhu
230	113	rakyll
231	1375	junyanz
232	19	simurai
233	91	nicolasgramlich
234	33	shiffman
235	8	purcell
236	24	evanphx
237	63	ericelliott
238	192	matyhtf
239	89	StephenGrider
240	29	AdamBien
241	345	rtomayko
242	35	tomchristie
243	226	be5invis
244	35	amueller
245	8	dead-horse
246	128	remy
247	401	Unknwon
248	1	jiyinyiyong
249	356	Shougo
250	24	arunoda
251	44	benoitc
252	18	ask
253	218	JohnSundell
254	11	Raynos
255	197	samuelclay
256	61	unicodeveloper
