,mileage,model,phone:,price,ref_link,seller,year
0,35579.0,ZEN CHARGE RAPIDE,0164581233,8120.0,https://www.lacentrale.fr/auto-occasion-annonce-69103378134.html,Professionnel,2015.0
1,15089.0,Q90 LIFE CHARGE RAPIDE,0411822027,11130.0,https://www.lacentrale.fr/auto-occasion-annonce-69103257728.html,Professionnel,2016.0
2,53701.0,Q90 INTENS CHARGE RAPIDE,0176371173,11250.0,https://www.lacentrale.fr/auto-occasion-annonce-69102873096.html,Professionnel,2015.0
3,23694.0,Q90 LIFE CHARGE RAPIDE,0184158686,9870.0,https://www.lacentrale.fr/auto-occasion-annonce-69102771504.html,Professionnel,2015.0
4,15363.0,LIFE CHARGE RAPIDE,0411825008,9750.0,https://www.lacentrale.fr/auto-occasion-annonce-69103307336.html,Professionnel,2016.0
5,17306.0,Q90 LIFE CHARGE RAPIDE,0182886885,10590.0,https://www.lacentrale.fr/auto-occasion-annonce-69102674724.html,Professionnel,2016.0
6,12418.0,Q90 LIFE,0184161904,10510.0,https://www.lacentrale.fr/auto-occasion-annonce-69102497062.html,Professionnel,2016.0
7,16018.0,Q90 LIFE,0184157425,10480.0,https://www.lacentrale.fr/auto-occasion-annonce-69103145539.html,Professionnel,2014.0
8,78053.0,Q90 INTENS,0184162286,9030.0,https://www.lacentrale.fr/auto-occasion-annonce-69103359230.html,Professionnel,2016.0
9,32416.0,Q90 ZEN CHARGE RAPIDE,0411825496,11320.0,https://www.lacentrale.fr/auto-occasion-annonce-69103257725.html,Professionnel,2012.0
10,16200.0,Q90 LIFE CHARGE RAPIDE,0411827326,10590.0,https://www.lacentrale.fr/auto-occasion-annonce-69103257726.html,Professionnel,2016.0
11,26420.0,Q90 LIFE CHARGE RAPIDE,0176371951,9420.0,https://www.lacentrale.fr/auto-occasion-annonce-69102879907.html,Professionnel,2014.0
12,30480.0,Q90 INTENS,0176316917,10580.0,https://www.lacentrale.fr/auto-occasion-annonce-69103394780.html,Professionnel,2016.0
13,23223.0,Q90 INTENS CHARGE RAPIDE,0519654420,9790.0,https://www.lacentrale.fr/auto-occasion-annonce-69103007291.html,Professionnel,2014.0
14,19765.0,INTENS,0182887918,10650.0,https://www.lacentrale.fr/auto-occasion-annonce-69103299613.html,Professionnel,2013.0
15,38065.0,ZEN CHARGE RAPIDE,0164579195,7650.0,https://www.lacentrale.fr/auto-occasion-annonce-69103378129.html,Professionnel,2013.0
0,34629.0,Q90 INTENS CHARGE RAPIDE,0182882980,11420.0,https://www.lacentrale.fr/auto-occasion-annonce-69103113456.html,Professionnel,2016.0
1,52382.0,ZEN CHARGE RAPIDE,0164577096,7680.0,https://www.lacentrale.fr/auto-occasion-annonce-69103369311.html,Professionnel,2013.0
2,41396.0,ZEN CHARGE RAPIDE,0164576357,7680.0,https://www.lacentrale.fr/auto-occasion-annonce-69103378131.html,Professionnel,2013.0
3,44301.0,ZEN CHARGE RAPIDE,0164577286,7830.0,https://www.lacentrale.fr/auto-occasion-annonce-69103369310.html,Professionnel,2015.0
4,48694.0,ZEN CHARGE RAPIDE,0164580658,7610.0,https://www.lacentrale.fr/auto-occasion-annonce-69103378130.html,Professionnel,2015.0
5,41626.0,Q90 INTENS CHARGE RAPIDE,0176367424,11250.0,https://www.lacentrale.fr/auto-occasion-annonce-69102626216.html,Professionnel,2016.0
6,26386.0,Q90 ZEN,0184159351,10810.0,https://www.lacentrale.fr/auto-occasion-annonce-69103206293.html,Professionnel,2014.0
7,17284.0,Q90 LIFE,0184161846,9660.0,https://www.lacentrale.fr/auto-occasion-annonce-69103359226.html,Professionnel,2016.0
8,30404.0,Q90 LIFE CHARGE RAPIDE,0411828811,10050.0,https://www.lacentrale.fr/auto-occasion-annonce-69103321686.html,Professionnel,2016.0
9,21318.0,Q90 LIFE CHARGE RAPIDE,0411829963,10680.0,https://www.lacentrale.fr/auto-occasion-annonce-69103283872.html,Professionnel,2016.0
10,17582.0,Q90 LIFE,0184155654,10300.0,https://www.lacentrale.fr/auto-occasion-annonce-69103145537.html,Professionnel,2014.0
11,43455.0,LIFE CHARGE RAPIDE,0164580901,8980.0,https://www.lacentrale.fr/auto-occasion-annonce-69103381590.html,Professionnel,2015.0
12,12118.0,Q90 LIFE,0184157229,10050.0,https://www.lacentrale.fr/auto-occasion-annonce-69103359228.html,Professionnel,2016.0
13,32772.0,Q90 INTENS,0184158341,11320.0,https://www.lacentrale.fr/auto-occasion-annonce-69102865445.html,Professionnel,2014.0
14,56265.0,ZEN CHARGE RAPIDE,0164579403,8450.0,https://www.lacentrale.fr/auto-occasion-annonce-69103377197.html,Professionnel,2013.0
15,48454.0,Q90 LIFE,0176368407,8300.0,https://www.lacentrale.fr/auto-occasion-annonce-69102183985.html,Professionnel,2013.0
0,8845.0,R90 INTENS GAMME 2017,0184157234,15800.0,https://www.lacentrale.fr/auto-occasion-annonce-69103394745.html,Professionnel,2016.0
1,10362.0,Q90 LIFE CHARGE RAPIDE,0176366406,10370.0,https://www.lacentrale.fr/auto-occasion-annonce-69103318453.html,Professionnel,2013.0
2,16062.0,Q90 ZEN CHARGE RAPIDE,0176386948,11340.0,https://www.lacentrale.fr/auto-occasion-annonce-69103334405.html,Professionnel,2014.0
3,42342.0,Q90 INTENS CHARGE RAPIDE,0176316389,9930.0,https://www.lacentrale.fr/auto-occasion-annonce-69103063831.html,Professionnel,2013.0
4,25599.0,Q90 LIFE CHARGE RAPIDE,0176316542,9020.0,https://www.lacentrale.fr/auto-occasion-annonce-69103063827.html,Professionnel,2013.0
5,37718.0,Q90 LIFE CHARGE RAPIDE,0176384772,10480.0,https://www.lacentrale.fr/auto-occasion-annonce-69103360348.html,Professionnel,2015.0
6,57490.0,ZEN,0164578561,8910.0,https://www.lacentrale.fr/auto-occasion-annonce-69103369304.html,Professionnel,2016.0
7,23027.0,Q90 LIFE CHARGE RAPIDE,0532325803,10140.0,https://www.lacentrale.fr/auto-occasion-annonce-69102312673.html,Professionnel,2012.0
