,index,mileage,model,phone:,price,ref_link,seller,year,argus
0,0,35579.0,ZEN CHARGE RAPIDE,0164581233,8120.0,https://www.lacentrale.fr/auto-occasion-annonce-69103378134.html,Professionnel,2015.0,11074
1,2,53701.0,Q90 INTENS CHARGE RAPIDE,0176371173,11250.0,https://www.lacentrale.fr/auto-occasion-annonce-69102873096.html,Professionnel,2015.0,11074
2,3,23694.0,Q90 LIFE CHARGE RAPIDE,0184158686,9870.0,https://www.lacentrale.fr/auto-occasion-annonce-69102771504.html,Professionnel,2015.0,11074
3,3,44301.0,ZEN CHARGE RAPIDE,0164577286,7830.0,https://www.lacentrale.fr/auto-occasion-annonce-69103369310.html,Professionnel,2015.0,11074
4,4,48694.0,ZEN CHARGE RAPIDE,0164580658,7610.0,https://www.lacentrale.fr/auto-occasion-annonce-69103378130.html,Professionnel,2015.0,11074
5,11,43455.0,LIFE CHARGE RAPIDE,0164580901,8980.0,https://www.lacentrale.fr/auto-occasion-annonce-69103381590.html,Professionnel,2015.0,11074
6,5,37718.0,Q90 LIFE CHARGE RAPIDE,0176384772,10480.0,https://www.lacentrale.fr/auto-occasion-annonce-69103360348.html,Professionnel,2015.0,11074
7,11,47988.0,ZEN CHARGE RAPIDE,0164575659,8620.0,https://www.lacentrale.fr/auto-occasion-annonce-69103377196.html,Professionnel,2015.0,11074
8,3,38976.0,Q90 INTENS CHARGE RAPIDE,0182887802,11000.0,https://www.lacentrale.fr/auto-occasion-annonce-69103153342.html,Professionnel,2015.0,11074
9,9,51250.0,Q90 LIFE CHARGE RAPIDE,0176433180,10600.0,https://www.lacentrale.fr/auto-occasion-annonce-69102895482.html,Professionnel,2015.0,11074
10,2,72293.0,Q90 INTENS CHARGE RAPIDE,0184312833,11560.0,https://www.lacentrale.fr/auto-occasion-annonce-69102929562.html,Professionnel,2015.0,11074
11,4,7194.0,ZEN,0184364153,12440.0,https://www.lacentrale.fr/auto-occasion-annonce-69103266701.html,Professionnel,2015.0,11074
12,0,18582.0,INTENS CHARGE RAPIDE,0184362503,9780.0,https://www.lacentrale.fr/auto-occasion-annonce-69103301144.html,Professionnel,2015.0,11074
13,2,32004.0,(2) Q90 LIFE CHARGE RAPIDE GAMME 2017,0490142376,10960.0,https://www.lacentrale.fr/auto-occasion-annonce-69103371255.html,Professionnel,2015.0,11074
14,4,30100.0,Q90 LIFE CHARGE RAPIDE,0176382533,8380.0,https://www.lacentrale.fr/auto-occasion-annonce-69103138264.html,Professionnel,2015.0,11074
15,1,46800.0,Q90 LIFE CHARGE RAPIDE,0176284499,9260.0,https://www.lacentrale.fr/auto-occasion-annonce-69102680976.html,Professionnel,2015.0,11074
16,2,7746.0,Q90 INTENS,0176390594,12990.0,https://www.lacentrale.fr/auto-occasion-annonce-69103348295.html,Professionnel,2015.0,11074
17,11,32313.0,LIFE,0176387642,10970.0,https://www.lacentrale.fr/auto-occasion-annonce-69103326809.html,Professionnel,2015.0,11074
18,12,75852.0,Q90 LIFE CHARGE RAPIDE,0176384252,9110.0,https://www.lacentrale.fr/auto-occasion-annonce-69103113272.html,Professionnel,2015.0,11074
19,1,34721.0,Q90 INTENS,0411854455,12390.0,https://www.lacentrale.fr/auto-occasion-annonce-69103297097.html,Professionnel,2015.0,11074
20,6,56914.0,Q90 INTENS CHARGE RAPIDE,0485218558,10980.0,https://www.lacentrale.fr/auto-occasion-annonce-87101153728.html,Professionnel,2015.0,11074
21,7,46460.0,Q90 INTENS CHARGE RAPIDE,0616166707,9760.0,https://www.lacentrale.fr/auto-occasion-annonce-87101226056.html,Professionnel,2015.0,11074
22,8,78705.0,Q90 LIFE CHARGE RAPIDE,0484378920,8520.0,https://www.lacentrale.fr/auto-occasion-annonce-69103137420.html,Professionnel,2015.0,11074
23,10,33369.0,Q90 LIFE CHARGE RAPIDE TYPE 2,0411352408,10610.0,https://www.lacentrale.fr/auto-occasion-annonce-69102725967.html,Professionnel,2015.0,11074
24,13,6847.0,Q90 INTENS,0164244642,12490.0,https://www.lacentrale.fr/auto-occasion-annonce-69103213087.html,Professionnel,2015.0,11074
25,1,55531.0,Q90 LIFE CHARGE RAPIDE,0176285506,8760.0,https://www.lacentrale.fr/auto-occasion-annonce-69102680974.html,Professionnel,2015.0,11074
26,3,6069.0,Q90 LIFE CHARGE RAPIDE GAMME 2017,0164284740,11780.0,https://www.lacentrale.fr/auto-occasion-annonce-69103175553.html,Professionnel,2015.0,11074
27,5,10920.0,LIFE CHARGE RAPIDE,0579989204,12850.0,https://www.lacentrale.fr/auto-occasion-annonce-69103248043.html,Professionnel,2015.0,11074
28,14,34621.0,LIFE,0176383830,11760.0,https://www.lacentrale.fr/auto-occasion-annonce-69103299055.html,Professionnel,2015.0,11074
29,15,30520.0,Q90 LIFE,0411823418,10380.0,https://www.lacentrale.fr/auto-occasion-annonce-69103220879.html,Professionnel,2015.0,11074
30,0,27138.0,Q90 ZEN,0164246609,13620.0,https://www.lacentrale.fr/auto-occasion-annonce-69102785001.html,Professionnel,2015.0,11074
31,10,90134.0,Q90 INTENS,0485219050,8460.0,https://www.lacentrale.fr/auto-occasion-annonce-87101222694.html,Professionnel,2015.0,11074
32,0,47067.0,INTENS CHARGE RAPIDE,0411825410,10920.0,https://www.lacentrale.fr/auto-occasion-annonce-69103300084.html,Professionnel,2015.0,11074
33,5,20776.0,Q90 LIFE CHARGE RAPIDE TYPE 2,0176277069,12460.0,https://www.lacentrale.fr/auto-occasion-annonce-69103286943.html,Professionnel,2015.0,11074
34,7,24466.0,Q90 LIFE CHARGE RAPIDE,0182883830,8620.0,https://www.lacentrale.fr/auto-occasion-annonce-69103063780.html,Professionnel,2015.0,11074
35,8,32227.0,Q90 ZEN CHARGE RAPIDE,0411347793,10350.0,https://www.lacentrale.fr/auto-occasion-annonce-69102725946.html,Professionnel,2015.0,11074
36,10,35355.0,LIFE CHARGE RAPIDE,0411823812,10490.0,https://www.lacentrale.fr/auto-occasion-annonce-69103300086.html,Professionnel,2015.0,11074
